RegionName,home_value,gross_yield,cagr,volatility,sale_to_list,yield_per_risk,cagr_per_risk
"New York, NY",735003.128701517,0.0592893023434916,0.050548572566504246,0.010929776452093757,1.0017901407461065,5.424566788109731,4.624849628724194
"Detroit, MI",271674.90504212555,0.07331817859902244,0.06940434295376607,0.01661175136197615,0.9969769082960589,4.413633276912979,4.1780268342223525
"Pittsburgh, PA",235538.50586748097,0.08761125027274944,0.04507458038416012,0.01604026680113081,0.9878475191850916,5.461957170598497,2.8100891925926352
"Cincinnati, OH",313302.9233977565,0.07905108336750757,0.06488257604929926,0.014407927388871571,0.994517799968452,5.486638100950262,4.503255346734563
"Columbus, OH",335356.5597089394,0.07547502271296203,0.06921726571898867,0.016536172129619244,0.9973475482207006,4.564237849083147,4.18580945919208
"Indianapolis, IN",297384.60476190684,0.07929354055429211,0.06792354718727744,0.017206226333485754,0.9909945616331124,4.608421336407487,3.947614419966602
"Cleveland, OH",255598.49859388836,0.08206500416575743,0.06466629322553374,0.014437992669480553,0.9964914026333456,5.68396217150247,4.478897773803919
