RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30
102001,0,United States,country,,1286.7137973720291,1292.150029902225,1297.6058411535203,1303.0375088993806,1307.2163088938983,1311.7923251901263,1316.582490913119,1322.0421140745427,1327.5421860458507,1332.8179450104142,1338.0323682064077,1343.13033589309,1347.7936448750913,1351.1158085994043,1353.2399411472368,1356.74104245543,1360.8622409311254,1365.617937775333,1369.6290276210914,1373.845866564617,1377.414200397919,1381.010521243656,1384.1129600836682,1388.0772290039672,1393.9984683279024,1401.688833775576,1409.9711984329488,1416.3710759038631,1421.7345931402344,1426.745725704228,1431.7580229216574,1436.1704127256116,1441.7766868935205,1446.884757640714,1452.4976702697397,1457.7055393737319,1462.8144374003875,1467.594222524349,1472.6399804107377,1477.6214543434971,1482.4871409309892,1487.3448150579447,1492.512910487998,1498.4480126727776,1503.664691740639,1509.6088275070035,1515.6597822322803,1522.1142398014842,1527.0342608123858,1531.701134904541,1536.238936242337,1541.5421292292676,1547.4342230414327,1553.3971684144688,1559.2962425155602,1564.849299226389,1570.5064499537016,1575.8528617411312,1580.985659428346,1585.863781260119,1591.6303640971973,1597.4752162307113,1603.5288054130506,1606.309736058653,1609.3932519029686,1615.1627042210685,1626.3517280814865,1638.0853116432907,1651.137882272513,1664.0881793690323,1676.5074318206189,1688.861084999207,1701.9508230300448,1715.3029052424463,1729.1846462453752,1745.628025079026,1765.7422870967664,1786.8370419170762,1807.00396003002,1828.0783287955667,1848.8397226175246,1868.0265462302705,1886.3440381923772,1903.8652131505864,1920.8024391196373,1937.4007886919794,1953.140913698528,1969.6620122900117,1983.6651345111181,1997.5866735553716,2008.9488507535455,2018.8633053892072,2026.57476574488,2034.9512957785487,2042.1531621751037,2050.6286520705817,2057.598035175685,2065.1854298926737,2073.472161322988,2081.9874139081103,2090.149463928064,2096.4872307857445,2103.6117217010437,2110.7967854267754,2118.301296703088,2125.2590131237457,2132.2907595004094,2140.028776976099,2148.4785737899447,2156.918450160625,2165.3115151423412,2171.75354694111,2178.1502800627222,2184.151963008614,2190.977854486942,2196.951153457655,2202.28128092042,2207.760594367191,2215.7851224560295,2223.215969989367,2231.3910235632484,2237.80487677467,2243.3317581639326,2246.561996638166,2250.0665721634505,2254.0951010740064,2259.449666823068,2265.406553690527,2271.9014367052364,2278.1787751504176,2282.4537170835297,2286.3679993069886,2289.510300945593,2293.763656035011,2298.505069842361,2305.8373943077527,2313.0641917613643,2320.3740257318627
394913,1,"New York, NY",msa,NY,2080.8136456905877,2098.7669281939716,2112.229537203618,2115.164487494017,2110.0609009622444,2119.93556202509,2125.89839633395,2132.901340134149,2139.2225391003035,2146.828622427979,2154.697709466307,2162.1055513801275,2168.7006809712007,2173.1693593586742,2175.449104742218,2180.0406086484036,2187.860430711162,2188.934720642709,2195.373448526031,2199.2470020895826,2200.898677327377,2201.3250246248854,2215.569094956535,2232.1199502754926,2248.8758679901835,2252.1269577599187,2259.9288254109642,2263.951573549992,2272.7794811087697,2277.3377155607996,2286.3891239439918,2290.119909114612,2315.063153049263,2327.5091653168784,2329.777129193281,2315.595902702099,2314.10970042156,2321.3111137823353,2322.909735902277,2331.9514802175054,2337.9171516096444,2345.4565830368065,2350.2536838901497,2366.125711936527,2376.8311752590275,2377.7429645239436,2382.0791680837337,2386.070309725758,2393.8722623888775,2405.247753545854,2415.5860138390813,2421.859516772762,2427.7162503520703,2435.4312442821583,2442.1801631378953,2443.6640556134416,2439.372805479541,2449.231658846413,2458.6719625565743,2476.0839485832903,2484.433780013907,2488.5324432345046,2486.6060784580463,2493.628126858996,2506.241914785075,2516.989471519227,2527.5865853854507,2539.8460586376973,2557.2788337200686,2558.107419806109,2579.717713469201,2582.3086226803566,2608.235424734763,2616.076975730091,2645.1501874074556,2662.575128393628,2676.75799485218,2696.130855210355,2715.914868814575,2738.4577889851,2751.5516827415117,2779.7458270965762,2792.124210419673,2832.8084496121355,2856.212883626554,2894.5806734662333,2903.608847001172,2923.551192633621,2949.4029497804545,2977.0760342741355,3006.109649063136,3028.180090436306,3050.789801559331,3065.698965024226,3077.666311490849,3075.418765315823,3081.8188242273986,3097.2146779217064,3127.9604652888806,3154.5029478843476,3172.5245790386953,3177.8506907900846,3186.3292698714504,3199.50136307459,3222.4832397616465,3236.0848366022956,3249.716839655843,3267.9841311846794,3291.118207978129,3309.5836994609463,3327.664363354038,3334.4632076347007,3337.668639490185,3346.050402895925,3360.8568393101064,3375.100182364677,3380.9707733805976,3385.7593287354953,3400.3039615482703,3429.1270289503727,3445.31813757801,3449.151741376895,3441.4244005294545,3450.701788553018,3462.726127273005,3481.1356965154973,3491.36504504616,3500.985580779412,3512.1668047315457,3529.782888151951,3540.876408800816,3540.5522318835065,3546.640966331123,3562.357010995561,3585.163276459212,3601.1808027609695,3618.671107262752,3631.4852267497085
753899,2,"Los Angeles, CA",msa,CA,2535.0242814792755,2549.055657413562,2563.9219439211265,2570.7986128292796,2576.9431975073603,2587.7113237450176,2601.919877008169,2613.229405663635,2629.778347480569,2645.4558693506046,2659.4564059497425,2672.557432546702,2685.5786745484284,2698.21227307336,2707.192152719621,2716.077670023664,2732.8359627040563,2743.963610816602,2755.9572776745836,2763.0753323480285,2770.4868072975273,2776.017801541365,2778.949153880877,2789.1375643093547,2808.5321031009785,2829.784400539188,2849.584034233508,2862.653532311509,2873.857612985305,2881.208235274988,2892.5821379190415,2902.332688321914,2916.0084381210822,2920.514575180218,2935.3120995118934,2946.182254652214,2959.583813346221,2969.3517077878623,2978.1522170212206,2991.5096177977503,2995.367843447936,3009.634444869426,3019.144171703211,3033.1453917587432,3044.349643555279,3060.955897058816,3080.2223202084856,3091.2391552153445,3096.223177543517,3096.7081730583022,3105.063289435278,3113.546441880508,3128.66913401584,3138.6303212868734,3149.803304772843,3159.248274942894,3168.3558767086397,3178.094805536991,3181.0396720659114,3190.848683667995,3202.12919749852,3218.3833678398555,3209.4837046545686,3203.834802934835,3200.8160529488546,3214.5673463377243,3242.2172129553624,3256.3392380311516,3272.846066508391,3284.6181727225276,3309.1578329523136,3328.261035440563,3357.238772031001,3376.2293288637484,3401.473145207969,3421.92227004322,3448.350502010823,3475.714147983653,3501.338845368732,3547.115073540233,3589.0342158836843,3627.547648983813,3655.771971774182,3690.2242972647296,3721.16001905034,3761.434176351477,3796.039732361974,3836.1984511874016,3866.203507184691,3888.7602570111976,3908.4770862218606,3915.7404187434317,3928.8997698711514,3946.646449794707,3963.755342968258,3972.792220234935,3973.2478174109942,3974.91932137776,3987.1881758848617,4009.5339187915365,4034.486057298497,4056.7549216231896,4072.994789670788,4092.2153292101143,4101.574349334895,4114.3167648963345,4126.152170467046,4150.02289667487,4159.028308155318,4169.606586217996,4172.696782368122,4189.109791896165,4198.664944164353,4214.490381257681,4233.644123010195,4251.356713006195,4268.9457559179145,4281.428005833652,4294.193780236498,4307.870420654858,4361.850472100427,4405.500133609338,4434.64270504838,4414.654425624919,4403.710686356036,4405.150660474826,4411.430223377032,4418.786281255122,4429.771868839566,4441.685655147485,4453.716731275521,4459.726795567241,4443.110094577178,4432.869383350285,4435.096754619848,4465.044705527635,4491.268820726717,4505.523871427841
394463,3,"Chicago, IL",msa,IL,1498.3479939603496,1499.6785119923059,1501.3622206869957,1508.8820899030065,1512.9684393090604,1517.8170543062024,1520.2767240197281,1524.731928352387,1526.651155527083,1528.919491346624,1531.571394808926,1540.1094507899475,1544.4323869824957,1549.7014507512463,1551.023441668163,1552.7838403169167,1553.4150526581632,1553.6743067648902,1558.4442671798272,1564.392232761009,1567.5146362817266,1570.6010409924324,1572.060687898758,1571.0130982098185,1575.3351311717217,1580.2521567067652,1589.298953216232,1594.231902383113,1599.567478995992,1603.2859940831077,1605.9841280736898,1605.9607713900036,1609.3707976136627,1610.7034012542458,1615.6206060399172,1621.216318831346,1624.8268777307976,1628.1419583749716,1630.3052815709111,1637.6766892019155,1641.1169666135095,1644.9418536286448,1646.9751352029266,1651.4276143408401,1655.6369927323249,1661.5230780082436,1666.2904004250952,1668.6337245920863,1674.8663796991846,1676.0821071936614,1679.0959591348785,1679.9058220168558,1684.087459002341,1688.9195242330356,1694.9150761186565,1700.1530105212773,1704.586302308442,1708.8224652861638,1712.5698686779313,1718.3643783966693,1721.2748161103234,1728.271040767632,1730.4754307626133,1736.6966867851786,1734.4477157868262,1738.504598481959,1746.4560018530497,1757.3459938623232,1761.8215802543532,1768.335101051657,1775.5917481042552,1789.01143785848,1804.7622560804111,1816.982674641825,1826.135158929682,1832.1158187985513,1846.5364605984555,1861.296235135071,1877.2918384092836,1891.5638618132518,1912.729215917458,1929.828523616671,1948.6793364158475,1957.8879676422516,1965.0313601023186,1970.7505736663445,1984.7452246171017,2004.3759322728276,2025.2753174471145,2039.4340754903662,2052.6026425159007,2063.545637513235,2074.076878487611,2084.1327519680467,2089.118109228869,2102.2712775422438,2116.561325487831,2133.9318671144288,2143.0001658356105,2153.432356107472,2162.411785159859,2177.954088932147,2185.983998550345,2198.2767917245656,2204.3305246163195,2219.193698951483,2234.554178752449,2252.521750238807,2266.2732741952523,2275.572750180344,2290.167315754567,2303.9294374581764,2315.8517102536894,2324.361599971813,2334.5015436610365,2348.061153695662,2360.6495776946326,2373.952174047591,2387.1551231814665,2400.335032116316,2410.20321933553,2427.0650868030693,2437.70196730234,2445.138918551845,2450.8563629582823,2458.6872573207756,2471.9033555244173,2480.550264769015,2492.9107185019047,2500.1930682263032,2508.238826458989,2513.330588879616,2522.9343632717373,2528.5837867612718,2537.8862388776706,2549.5315937573932,2563.703749401918,2576.5699322234386
394514,4,"Dallas, TX",msa,TX,1418.9860000830095,1424.5224862059417,1429.8995499575467,1436.8750039760635,1443.1779197305377,1449.140145404473,1456.011315124582,1461.3395692701679,1468.036367561599,1474.1040914242583,1480.922822381711,1487.3871786833945,1491.7828800377479,1498.0972452723017,1502.1084903115336,1508.4114093119774,1513.0488807787758,1519.223649630125,1523.7559976735242,1529.7559424032286,1534.5613402521049,1538.938767151883,1543.0993611741853,1546.6856850488318,1554.9460621430856,1561.4794022283888,1571.520878281771,1577.0219267358013,1583.933211312764,1587.7467998209986,1593.6404188639706,1598.245835046739,1602.9401990138851,1607.5728725378947,1613.6155899728808,1620.7539941686537,1625.9451317585044,1631.0086882653836,1634.1839472461425,1639.1576389906058,1640.4320561670306,1646.487408690264,1650.0618017480467,1656.331503451704,1661.1800881511872,1666.0846500574344,1668.561152654953,1674.3288876288052,1680.2858170325014,1685.2427816581105,1689.6496493599334,1694.2601974358297,1701.252048707797,1705.605867479834,1710.9939551683055,1714.4619954223892,1719.0002488022528,1723.4462104442816,1728.9259941372338,1731.2698092738249,1733.3218798573605,1736.3378231650458,1747.2648669457276,1749.4460819562105,1751.4804893965727,1754.6883811277266,1764.325498882581,1773.9198483005687,1785.300406848065,1797.4411871788484,1812.519057244943,1829.293366461699,1846.006374495808,1862.3069609790516,1875.9548966953407,1895.312194104285,1917.0551905212628,1941.5392934793313,1965.8618606171872,1990.951498452158,2016.662293959091,2040.7530265115417,2058.131742169953,2073.178960939418,2088.248950322782,2107.1456361102278,2125.6330671204837,2143.40823415563,2160.0920320693235,2178.2223058637283,2191.2909521077554,2201.9770314034886,2208.7179317014215,2217.655376563987,2227.206095323181,2237.64198203797,2244.1874373692062,2248.30335549578,2253.3423740536477,2258.5933449808863,2267.2501201249656,2272.015108501798,2279.8466005517694,2284.773951891587,2289.3055820513905,2290.0102266137374,2296.8652908628355,2303.1111178403116,2311.1895429534334,2315.3878445376204,2322.253460053929,2326.3176627258204,2326.3381843078328,2328.8257547740222,2332.2593300388394,2337.704210371724,2338.016048880736,2338.278318032185,2338.0622910469597,2341.1563478312214,2346.011355459051,2352.324543575379,2361.6599704281016,2363.058057382832,2362.4925476999147,2357.4806413885376,2358.300697411131,2358.926495797756,2363.995514282498,2370.169412708423,2373.4831146804595,2374.1474607022633,2373.083020857214,2372.9189426034563,2368.8611153415736,2372.034616977865,2377.8964092573415,2386.622667900322
394692,5,"Houston, TX",msa,TX,1572.5227280787126,1575.8518180931644,1583.3679436818088,1586.2365991259633,1587.941093686267,1588.0170019154475,1590.0124804521954,1592.7458981992875,1593.6134147179846,1596.3615717015161,1599.9135422711042,1600.9198050323419,1602.9284435273062,1601.372637917222,1602.716181521317,1598.8274691389297,1596.278355151722,1594.4444236284262,1594.6599659420488,1594.9599410304372,1591.9602913257822,1589.1012141381286,1585.10980548226,1585.2749563594964,1587.5181430398115,1596.0548819021333,1602.9002205496272,1607.2538008605682,1608.59978793626,1609.7580185651243,1612.3655300802961,1615.3326596312122,1625.7156381906243,1636.180472526788,1646.5925201495195,1650.9479795331974,1654.8764707226135,1656.9313042920264,1657.6593689229662,1657.4786560451112,1658.8398318756535,1662.4625957144171,1664.7188862279572,1668.773020373545,1669.1557679391958,1671.1962962843297,1671.3024816759848,1674.541839987825,1676.0811170798222,1678.9924675633556,1681.8704459706303,1687.8558106966448,1693.8880292965225,1698.1632317325245,1702.3000284025388,1704.9005760576417,1707.4528638071863,1708.7606355674072,1711.9927457106571,1715.1605598937635,1719.563058755986,1722.683999389946,1726.1296481304498,1724.5922324273906,1725.041852103542,1724.836828012948,1735.8819334571854,1747.0956463847706,1759.9386178329914,1769.7403122603077,1780.3404740499059,1791.159906430891,1805.0643041506164,1815.736177739697,1826.4233093877276,1839.2715752633387,1856.9690055398974,1874.5941008181699,1885.0587085997129,1898.1720405065485,1911.3557770211205,1928.7091647743337,1942.3360662552284,1955.6619154646705,1966.3972269589399,1979.0278583322263,1987.8950912608925,1999.5585544483106,2007.0284667364162,2021.0153980801397,2031.4473990434544,2040.95150087094,2046.918929252605,2054.637020946991,2060.7037371854703,2067.323403238043,2072.830690751318,2080.093226660955,2089.8650879609777,2096.317589469951,2104.745234960989,2110.7187855851153,2121.6885444408344,2128.6437285766974,2131.8321489260056,2134.01363686374,2137.2955770770836,2144.1200063545048,2149.3206796687537,2158.893533619467,2163.728044306942,2171.249988022524,2174.407493845169,2180.0323415691823,2184.6880936795696,2189.6272456457405,2194.1883774199764,2197.58692573548,2204.1684677905205,2208.760152605765,2213.4967413681943,2216.3351842238976,2221.0872246844187,2224.415436756586,2224.078669607057,2220.293794327633,2219.9599009544363,2221.1055268331556,2224.715753209018,2228.819297783923,2229.9984564767083,2230.4857348393066,2231.6040876101993,2231.3356654209165,2231.2473547690274,2231.3625264524126,2235.882117865786,2241.9917000402916
395209,6,"Washington, DC",msa,VA,2155.4910498737604,2165.79878191532,2172.5624107187928,2175.184939625965,2174.695636277773,2177.4174382126444,2179.1181302768305,2179.6620910108163,2187.31036276805,2192.7260927955695,2201.677245635432,2206.7590035182643,2210.7765501126137,2214.628525321903,2215.3022642779515,2215.3009438549066,2216.6625632876553,2219.667841795397,2225.9940187679827,2234.171326812697,2235.33493995648,2240.878904274016,2241.835776765269,2245.2311581615395,2250.2897887340077,2257.1085739412592,2266.666418432686,2271.3283117667434,2275.3426504448953,2279.712629998275,2283.7999443602257,2285.492251409756,2289.8806342848948,2292.1233972428595,2297.3259325721424,2306.8892142948575,2313.7788550416567,2316.080605766607,2316.5786871423015,2320.825716402646,2329.3726968858,2334.7955655426117,2341.1317325264044,2346.949531152379,2350.012822513305,2353.7465732021506,2360.414757877385,2368.8556961006043,2372.435266728267,2378.6648618673203,2385.989189500943,2393.1437939445777,2397.1477685191453,2402.916737476911,2407.4423609814776,2413.132214679352,2420.8512041370172,2428.259545456746,2432.7637156989726,2433.3541720565904,2438.6968364343916,2443.8820348337736,2458.2403282223845,2461.743389145433,2465.8712352090133,2468.401597766506,2478.1485467864645,2488.2725328754996,2499.89668124652,2507.922114980695,2518.8233710744994,2530.62657226039,2544.6984667975594,2550.070521988184,2561.168665400863,2574.3659104696458,2596.9884906946586,2614.012268670075,2632.419651482887,2650.7771569464985,2669.0828783131315,2690.290812951523,2707.5628444998224,2721.447942719639,2736.3979516003023,2757.0522137974963,2775.126227428977,2794.7630900178274,2806.0815932137307,2822.5759957748915,2834.097987245147,2844.5852141631385,2860.0780598491788,2870.159888470774,2881.502493878333,2896.525891451836,2909.114576124018,2922.550742784488,2929.5263114333065,2941.1230841307274,2956.988150129391,2973.7791568784564,2989.8774517675497,3004.9487208086102,3014.758157102525,3032.9262571157815,3048.9990950359797,3067.3946254027423,3072.893815229163,3082.9880599444314,3093.0397542707697,3111.172620776813,3125.822036668945,3142.4106465346617,3152.2863460398225,3163.3317009508105,3172.468798203899,3182.7452939769278,3198.9428060486766,3209.902242620636,3224.4674385343224,3234.280056404999,3246.401558648675,3248.2282044231374,3250.4527774434064,3255.4517106730673,3264.148585391278,3272.4254895641584,3283.5235445397407,3290.2846546291426,3293.056953911564,3297.676635059334,3306.0633224969106,3315.0660562610574,3323.484322692207,3334.5396141708893,3346.214824528533,3354.2502639512954
394974,7,"Philadelphia, PA",msa,PA,1367.8051040156884,1374.120227058573,1379.7950240005675,1382.4425646540717,1384.8998973940877,1386.3817715595044,1391.0587355746738,1393.732200461212,1399.095886143925,1402.8750725934688,1404.0204701817447,1406.1025813793428,1407.4073392716482,1411.7740459790334,1414.452654362665,1419.9441368645632,1424.1400148057664,1430.6042047171013,1433.7078860336735,1437.5055350867308,1436.8718309645749,1438.9875861478035,1445.022387545208,1452.0933198100079,1459.871184390842,1463.7833834380624,1468.9121868350041,1471.853650652893,1474.2067263132296,1473.334445109238,1477.8003201311478,1482.6697667245212,1490.6707956199093,1496.154317964885,1500.3258745977469,1504.059784119324,1503.8757348267122,1507.9582069404971,1514.2376750101514,1521.0223688774688,1527.801923527338,1532.431804038859,1534.6745677081333,1537.8305944252636,1542.7090212093321,1548.8891570146693,1556.381189832871,1560.0490331439194,1566.9649724087596,1571.831402150285,1575.3966225168479,1579.2533225843686,1583.8086901312338,1591.267986563932,1598.5998465040657,1605.014935471492,1609.467629837267,1613.699179168939,1616.9201878340243,1623.1979246882877,1628.9135357049715,1634.9545260690202,1641.1423961219323,1643.479700261841,1648.661928535188,1652.8216091064394,1665.8515117830004,1675.6560491794014,1690.3179756885158,1697.8783159079935,1706.370128225832,1713.6161834363822,1727.1872523825546,1740.375557888886,1746.0782564724525,1758.5419953811383,1773.188112652002,1788.8355538054166,1801.0935630173622,1815.2242950478044,1821.510254595186,1838.0051492165665,1855.6923659354022,1883.6188657751911,1897.1573494275663,1905.983874285261,1917.8063433922553,1930.2073960442124,1943.726382166795,1957.4114207163555,1970.588222270064,1981.854387115513,1991.25381033226,1992.1427832726686,1997.7326328439767,1997.4676928737172,2009.6618874313547,2020.0728968195756,2033.8434590548986,2044.0429732812784,2050.663701252716,2058.195212794547,2064.5648996268983,2072.710824319988,2087.793471421646,2106.2335637577166,2117.8664720116794,2120.52295459121,2122.684022403509,2130.9767690406397,2146.251218766849,2156.0526945229863,2167.837901818638,2173.499766169785,2176.842691954745,2186.9281544322885,2194.7859779833166,2207.019688601162,2216.7727036254005,2231.739855790329,2243.240943213393,2249.751432677613,2246.046772570085,2246.2352683166846,2252.9223412321994,2262.908821031515,2274.3682153335753,2280.1019841564685,2284.7689504836553,2285.8153794391815,2291.2066025458284,2298.007070751064,2305.5999707864466,2314.5806597214223,2327.204805339412,2340.5666756573914,2348.775085328122,2357.462515301304
394856,8,"Miami, FL",msa,FL,1740.5877711615,1749.1643377304936,1760.62712287173,1770.4085152593962,1775.3970838127466,1781.2109396863716,1788.8227925427548,1797.6338335360963,1807.3392383327982,1815.2741062880725,1828.0627679031356,1835.9890292082503,1848.1779483978983,1848.5469843647195,1851.418547293069,1852.2706942775392,1859.1459890353485,1861.5843344880584,1863.9393298529137,1866.4059596561776,1873.0462611061844,1876.413391578544,1880.9441496311822,1882.9287740966938,1889.0860077166515,1899.4371694761112,1911.9327396824597,1919.455016100726,1921.6495986893297,1927.8134134428547,1936.143225133143,1944.3527729359205,1947.3615728876505,1951.5485146697195,1953.1276933984884,1962.214154628119,1969.7351964641134,1977.6941062718133,1980.0521728844067,1986.8159166442774,1994.0027993993963,1998.9327732472082,2003.0961998150217,2011.1977880484123,2017.9130426944091,2024.2056942623265,2027.0656307247762,2031.5636117545623,2037.3117838380585,2041.9896353085892,2047.6755362234417,2053.132435224119,2059.9370430880344,2067.5158734447305,2074.714191520844,2078.9464204252463,2086.0742511687795,2093.7840595194602,2105.2753253309293,2112.615397419165,2119.0313593838505,2125.8070697463745,2132.4052897147817,2136.5294713931166,2137.718893122134,2144.4450331998514,2158.687380217934,2172.493177229943,2189.314535058016,2217.899878704523,2241.6173665903784,2268.8485851361006,2286.1712381116845,2311.809493356669,2332.0178958149627,2363.4597698463353,2398.9192397361885,2448.7827158120003,2503.2478347886,2566.385207954295,2632.8056510806064,2678.0578770022494,2737.281509660351,2792.396143557436,2859.706387951283,2906.5114249665476,2960.1199927639314,3015.9509798615672,3073.4382885873943,3110.7067057926224,3136.767183903292,3151.3030342779757,3156.4301046824844,3168.145451413347,3175.2370054758553,3187.866628641547,3192.0035624593384,3198.9106975484683,3206.7487572691525,3215.361395921629,3224.463260224688,3237.51470160062,3243.6114246494476,3252.7422172889032,3263.6885999061456,3283.1794388855683,3292.0740654944307,3289.172517394527,3291.5321747071202,3305.6645688226195,3320.901915934639,3327.462478372515,3329.0011397277253,3330.8766427177757,3338.78114383722,3349.372687156284,3362.281690455574,3358.087560081509,3364.6811522725015,3371.8315842513907,3387.131547895293,3390.1990459079975,3394.8539675124844,3394.1843944570683,3392.5841290399594,3395.3492001566747,3400.041954738438,3402.4329172784687,3403.2222180131107,3411.468388868077,3416.332673073424,3424.783696091659,3425.252385495564,3429.027729814465,3430.422050968392,3439.740116236594,3452.016572513966,3460.6760288546852
394347,9,"Atlanta, GA",msa,GA,1154.1794390642597,1159.6371783947136,1162.745494095746,1168.67121295376,1172.0566030536163,1178.7800708560867,1183.7342980864091,1189.242892098002,1194.8229120766416,1199.553857070689,1202.828796421131,1208.0993226002126,1214.5596220221428,1221.6606901209354,1226.4769290825113,1230.0205588873816,1235.004948294809,1239.8297752703356,1246.3882181547622,1253.1823840105947,1258.1811556484372,1264.2329763377884,1267.2763800496043,1272.2757765221752,1277.127606777081,1284.9530241750977,1293.7313683186585,1301.807349828583,1309.6761335019958,1316.9220769328915,1325.3230477617717,1330.7452926680999,1337.598261110298,1339.7730561040898,1349.2127565535536,1354.4398532751115,1363.5803679509384,1367.0653084212165,1374.835732426109,1380.42940703192,1386.927058982834,1390.6485752547405,1396.5027018437968,1402.3175453640451,1409.09742978436,1418.7043991652429,1426.8466445286463,1435.127130200279,1440.8993857846333,1447.3401926823651,1452.0402566487414,1459.0676359635725,1465.3457987195513,1474.159246305682,1480.3967303183306,1488.1514845187469,1494.7820422805798,1501.3838741797997,1506.0861869504436,1512.4038216219424,1518.670431294481,1526.6906676408187,1535.8438041864883,1543.196572032611,1550.8597500479134,1559.7820935877548,1573.2280100656271,1588.376452579216,1604.9575751654554,1621.7094928148153,1637.9246390487717,1655.1780301811584,1675.3240409659697,1697.9969936654813,1719.3772909038214,1743.9321871929644,1766.4361796788767,1791.812434902261,1813.2103109612215,1840.8764077130509,1865.6053018131865,1892.6946495801415,1913.5894948403227,1929.1975321721977,1942.47877710377,1952.5611970277757,1966.4476306832141,1978.2074854577909,1994.7517231131658,2012.561938414409,2031.796730204477,2043.7347296006005,2054.028432210182,2061.881803580769,2071.283725910286,2083.6552182726673,2086.720860713454,2089.947232664969,2093.1726136666894,2100.709285498677,2108.3770198370426,2107.2899824393244,2109.593062349484,2110.3397156442998,2115.477572606099,2115.3528673320347,2116.834868732185,2121.356915876083,2137.5951964444725,2154.1017496223158,2165.2130070211783,2168.398643891164,2167.5201545409327,2173.826901969354,2179.324564719274,2185.9545518269842,2185.7520764357428,2191.1558707617146,2198.218101024207,2209.0283679149175,2216.195339605712,2225.743997518845,2231.009193351904,2237.2150344780684,2239.1181829487127,2243.0942782023244,2248.945741530912,2255.5068359499724,2265.1689441507447,2273.12319372205,2278.4706617530887,2278.6474830327097,2277.5891893809035,2274.501444303742,2277.102235502206,2281.855355464855,2291.4456346163274,2297.3784315402304
